job_id,title,company,location,country,category,salary_min,salary_max,salary_is_predicted,contract_time,created,description,skills,num_skills,avg_salary
5807302172,DATA ANALYST,EverIT Solutions Limited,"Solihull, West Midlands",United Kingdom,IT Jobs,31000.0,31000.0,False,full_time,2026-07-19 19:31:59+00:00,"The successful candidate will work with the Informatica team to implement, maintain, and enhance its enterprise-level data architecture using Informatica Power Center and Power Exchange tool. The successful candidate will work as part of a team comprised of a project manager, business analysts, and other members of the technical staff to use test-driven development techniques to develop and implement ETL processes to support sequencing and analysis efforts. Roles and Responsibilities The key sk…",['ETL'],1,31000.0
5828117185,Finance Data Analyst,Gibson Hollyhomes,"Leeds, West Yorkshire",United Kingdom,IT Jobs,30000.0,40000.0,False,full_time,2026-08-04 18:53:12+00:00,"Finance Data Analyst Leeds City Centre/Hybrid £30,000 - £40,000 My client are an international company based in Leeds City Centre who are looking for a Finance Data Analyst. This role would ideally suit a STEM Graduate with a Degree in Mathematics, Economics or Science. As a Finance Data Analyst your duties will include: Ensure all reporting and management information is provided in a timely manner Develop and maintain models for cost analysis Develop and implement solutions to pricing issues P…",[],0,35000.0
5822588610,Product Data Analyst,one2one Recruitment,"Northampton, Northamptonshire",United Kingdom,IT Jobs,33000.0,41000.0,False,full_time,2026-07-31 18:36:54+00:00,"Product Data Analyst Our client is an award winning, market leader in the food/FMCG sector with instantly recognisable brands. They are looking for an experienced Product Data Analyst to join their growing team in this new role for the business. You will have the opportunity to make a positive impact rapidly and develop systems and processes. Hybrid working and a generous benefits package are on offer. Key responsibilities include: Management of the master product data system, including creatin…",[],0,37000.0
5829585484,Finance Data Analyst,Orka Financial,"Bracknell, Berkshire",United Kingdom,Accounting & Finance Jobs,30000.0,35000.0,False,Unknown,2026-08-05 22:55:25+00:00,"Orka Financial is partnering with a global business based in Bracknell to recruit a Finance Data Analyst for its forward-thinking finance team. This role is looking for an ASAP start and is a year long contract position. This opportunity offers fantastic remote working, with the requirement of going into the office either once or twice a month. Responsibilities Produce regular financial and operational reports Analyse data, identify trends and highlight any issues Maintain and improve Excel-bas…",['Excel'],1,32500.0
5822591452,Graduate Data Analyst,Consula Group LTD,"London, UK",United Kingdom,Graduate Jobs,45000.0,45000.0,False,full_time,2026-07-31 18:39:36+00:00,"We are recruiting on behalf of a growing organisation based in London who are looking for a talented and analytically minded Graduate Data Analyst to join their team on a permanent basis. This is a genuine graduate role for someone who is passionate about data and wants to use it to drive real business decisions. You will be working within a data-focused team, turning complex datasets into clear, actionable insights that shape strategy across the organisation. The Organisation A well-establishe…",[],0,45000.0
5822590694,Graduate Data Analyst,Consula Group LTD,"Manchester, Greater Manchester",United Kingdom,Graduate Jobs,45000.0,45000.0,False,full_time,2026-07-31 18:38:48+00:00,"We are recruiting on behalf of a growing organisation based in Manchester who are looking for a talented and analytically minded Graduate Data Analyst to join their team on a permanent basis. This is a genuine graduate role for someone who is passionate about data and wants to use it to drive real business decisions. You will be working within a data-focused team, turning complex datasets into clear, actionable insights that shape strategy across the organisation. The Organisation A well-establ…",[],0,45000.0
5829131575,Supply Chain Data Analyst,Airbus,"Belfast, Northern Ireland",United Kingdom,Accounting & Finance Jobs,37059.11,37059.11,True,part_time,2026-08-05 15:10:55+00:00,"Job Description: SECURITY CLEARANCE: You will be subject to BPSS and Export Control checks (including a criminal record check) TRAVEL REQUIRED: Occasional travel within UK LOCATION: Belfast TYPE: Full time GRADE: B7 WHAT'S IN IT FOR YOU Financial Reward: Competitive salary, annual profit share, contributory pension, share options Work / Life Balance: 36 hour week, flexible working around core hours and Friday afternoons off, flexible working Step into the heart of aerospace innovation at Airbus…",[],0,37059.11
5811205837,Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",United Kingdom,IT Jobs,50000.0,55000.0,False,full_time,2026-07-22 22:24:50+00:00,"Data Analyst (6 month FTC) London - Hyrbid Working I'm currently partnering with an exciting, fast-growing organisation in the financial services sector that is looking to appoint a Data Analyst to join their Analytics team on a 6-month fixed-term contract . This is an excellent opportunity to work on a high-profile, business-critical programme where you'll use data to support regulatory reporting, operational decision-making and customer outcomes. Reporting into senior analytics leadership, yo…",[],0,52500.0
5814229171,Data Analyst,AWD online,"West Bromwich, West Midlands",United Kingdom,IT Jobs,28505.0,34613.0,False,full_time,2026-07-24 18:34:37+00:00,"Data Analyst An excellent opportunity for an organised and detail-orientated Data Analyst who enjoys working with data, producing meaningful reports and using information to help improve services and demonstrate impact. If you’ve also worked in the following roles, we’d also like to hear from you: Reporting Analyst, BI Analyst, Business Intelligence Analyst, Performance Analyst, MI Analyst, Insight Analyst, Data Officer, Data and Reporting Officer, Performance and Data Officer Please note: This…",[],0,31559.0
5810670554,Trainee Data Analyst,ITOL Recruit,"Sittingbourne, Kent",United Kingdom,IT Jobs,30000.0,50000.0,False,full_time,2026-07-22 10:21:08+00:00,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",[],0,40000.0
